skuid,skuPartNumber,skuDisplayName
2b9c8e7c-319c-43a2-a2a0-48c5c6161de7,AAD_BASIC,AZURE ACTIVE DIRECTORY BASIC
078d2b04-f1bd-4111-bbd4-b4b1b354cef4,AAD_PREMIUM,AZURE ACTIVE DIRECTORY PREMIUM P1
84a661c4-e949-4bd2-a560-ed7766fcaf2b,AAD_PREMIUM_P2,AZURE ACTIVE DIRECTORY PREMIUM P2
de377cbc-0019-4ec2-b77c-3f223947e102,AAD_SMB,AZURE ACTIVE DIRECTORY
,ADALLOM_O365,Office 365 Cloud App Security
,ADALLOM_S_DISCOVERY,MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION
8c098270-9dd4-4350-9b30-ba4703f3b36b,ADALLOM_S_O365,OFFICE 365 CLOUD APP SECURITY
2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2,ADALLOM_S_STANDALONE,MICROSOFT CLOUD APP SECURITY
df845ce7-05f9-4894-b5f2-11bbfbcfd2b6,ADALLOM_STANDALONE,Microsoft Cloud App Security
14ab5db5-e6c4-4b20-b4bc-13e36fd2227f,ATA,AZURE ADVANCED THREAT PROTECTION
,ATP_ENTERPRISE,Exchange Online Advanced Threat Protection
fcecd1f9-a91e-488d-a918-a96cdb6ce2b0,AX7_USER_TRIAL,Microsoft Dynamics AX7 User Trial
,BI_AZURE_P1,Power BI Reporting and Analytics
70d33638-9c74-4d01-bfd3-562de28bd4ba,BI_AZURE_P2,Power BI Pro
,BPOS_S_TODO_1,Microsoft To Do
c87f142c-d1e9-4363-8630-aaea9c4d9ae5,BPOS_S_TODO_2,BPOS_S_TODO_2
3fb82609-8c27-4f7b-bd51-30634711ee67,BPOS_S_TODO_3,BPOS_S_TODO_3
80873e7a-cd2a-4e67-b061-1b5381a676a5,BPOS_S_TODO_FIRSTLINE,To-Do (Firstline)
,CRMIUR,CMRIUR
906af65a-2970-46d5-9b58-4e9aa50f0657,CRMPLAN2,MICROSOFT DYNAMICS CRM ONLINE BASIC
d17b27af-3f49-4822-99f9-56a661538792,CRMSTANDARD,MICROSOFT DYNAMICS CRM ONLINE
d1142cfd-872e-4e77-b6ff-d98ec5a51f66,DDYN365_CDS_DYN_P2,COMMON DATA SERVICE
8c7d2df8-86f0-4902-b2ed-a0458298f3b3,DESKLESS,MICROSOFT STAFFHUB
4b585984-651b-448a-9e53-3b10f069cf7f,DESKLESSPACK,OFFICE 365 F1
,DESKLESSPACK_GOV,Microsoft Office 365 (Plan K1) for Government
,DESKLESSWOFFPACK,Office 365 (Plan K2)
189a915c-fe4f-4ffa-bde4-85b9628d07a0,DEVELOPERPACK,OFFICE 365 ENTERPRISE E3 DEVELOPER
61e6bd70-fbdb-4deb-82ea-912842f39431,DYN365_AI_SERVICE_INSIGHTS,Dynamics 365 Customer Service Insights Trial
238e2f8d-e429-4035-94db-6926be4ffe7b,DYN365_BUSINESS_MARKETING,Dynamics 365 for Marketing
749742bf-0d37-4158-a120-33567104deeb,DYN365_ENTERPRISE_CUSTOMER_SERVICE,DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION
d56f3deb-50d8-465a-bedb-f079817ccac1,DYN365_ENTERPRISE_P1,MICROSOFT SOCIAL ENGAGEMENT - SERVICE DISCONTINUATION
338148b6-1b11-4102-afb9-f92b6cdc0f8d,DYN365_ENTERPRISE_P1_IW,Dynamics 365 P1 Trial for Information Workers
ea126fc5-a19e-42e2-a731-da9d437bffcf,DYN365_ENTERPRISE_PLAN1,DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION
1e1a282c-9c54-43a2-9310-98ef728faace,DYN365_ENTERPRISE_SALES,DYNAMICS 365 FOR SALES ENTERPRISE EDITION
8edc2cf8-6438-4fa9-b6e3-aa1660c640cc,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION
643d201a-9884-45be-962a-06ba97062e5e,DYN365_Enterprise_Talent_Attract_TeamMember,DYNAMICS 365 FOR TALENT - ATTRACT EXPERIENCE TEAM MEMBER
f2f49eef-4b3f-4853-809a-a055c6103fe0,DYN365_Enterprise_Talent_Onboard_TeamMember,DYNAMICS 365 FOR TALENT - ONBOARD EXPERIENCE
8e7a3d30-d97d-43ab-837c-d7701cef83dc,DYN365_ENTERPRISE_TEAM_MEMBERS,DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION
920656a2-7dd8-4c83-97b6-a356414dbd36,DYN365_FINANCIALS_BUSINESS,FLOW FOR DYNAMICS 365
cc13a803-544e-4464-b4e4-6d6169a138fa,DYN365_FINANCIALS_BUSINESS_SKU,DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION
,DYN365_FINANCIALS_TEAM_MEMBERS_SKU,Dynamics 365 for Team Members Business Edition
1508ad2d-5802-44e6-bfe8-6fb65de63d28,DYN365_RETAIL_TRIAL,Dynamics 365 for Retail Trial
65a1ebf4-6732-4f00-9dcb-3d115ffdeecd,DYN365_TALENT_ENTERPRISE,DYNAMICS 365 FOR TALENT
ccba3cfe-71ef-423a-bd87-b6df3dce59a9,Dynamics_365_for_Operations,DYNAMICS 365 UNF OPS PLAN ENT EDITION
f5aa7b45-8a36-4cd1-bc37-5d06dea98645,Dynamics_365_for_Operations_Team_members,DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS
